NAME,ID,TEAM,PLAY_SEASON,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
Thabo Sefolosha,3028,atlanta-hawks,2015/2016,10,2,20.3,5.9,0.8,3.3,4.1,1.7,1.00,0.60,1.0,1.7,1.7
Mike Muscala,2490089,atlanta-hawks,2015/2016,9,0,7.4,2.7,0.8,1.1,1.9,0.3,0.00,0.11,0.3,0.7,1.0
Tim Hardaway Jr.,2528210,atlanta-hawks,2015/2016,9,0,9.7,2.2,0.0,1.0,1.0,0.8,0.00,0.11,0.3,0.2,2.3
Lamar Patterson,2488721,atlanta-hawks,2015/2016,4,0,5.0,1.5,0.0,1.3,1.3,0.8,0.25,0.00,1.0,0.3,0.8
Kirk Hinrich,1981,atlanta-hawks,2015/2016,6,0,4.5,0.8,0.0,0.7,0.7,0.5,0.00,0.00,0.0,0.3,0.0
Deron Williams,2798,brooklyn-nets,2011/2012,55,55,36.3,21.0,0.4,2.9,3.3,8.7,1.22,0.36,4.0,2.2,2.2,20.3
Brook Lopez,3448,brooklyn-nets,2011/2012,5,5,27.2,19.2,1.6,2.0,3.6,1.2,0.20,0.80,1.2,1.6,1.0,22.0
Gerald Wallace,1026,brooklyn-nets,2011/2012,16,16,35.8,15.2,1.5,5.3,6.8,3.1,1.44,0.69,1.7,2.4,1.8,17.2
Kris Humphries,2433,brooklyn-nets,2011/2012,62,62,34.9,13.8,3.8,7.2,11.0,1.5,0.81,1.19,1.9,2.8,0.8,18.0
Gerald Green,2761,brooklyn-nets,2011/2012,31,2,25.2,12.9,0.5,3.0,3.5,1.1,0.90,0.55,1.8,2.6,0.6,15.9
MarShon Brooks,6428,brooklyn-nets,2011/2012,56,47,29.4,12.6,1.3,2.3,3.6,2.3,0.93,0.27,2.1,2.1,1.1,13.0
Anthony Morrow,3474,brooklyn-nets,2011/2012,62,18,26.4,12.0,0.5,1.5,2.0,1.0,0.74,0.15,1.1,1.4,0.9,13.1
Jordan Farmar,3002,brooklyn-nets,2011/2012,39,5,21.3,10.4,0.2,1.4,1.6,3.3,0.62,0.05,1.7,1.3,1.9,17.5
Mehmet Okur,1014,brooklyn-nets,2011/2012,17,14,26.7,7.6,1.3,3.5,4.8,1.8,0.53,0.29,1.5,2.6,1.2,8.4
Armon Johnson,4279,brooklyn-nets,2011/2012,8,0,14.9,5.6,0.1,1.4,1.5,1.4,0.50,0.00,0.6,1.1,2.2,12.6
Sundiata Gaines,4224,brooklyn-nets,2011/2012,57,12,13.9,5.1,0.5,1.4,1.9,2.2,0.96,0.04,0.9,1.0,2.4,15.1
Damion James,4252,brooklyn-nets,2011/2012,7,7,24.3,4.9,1.0,3.7,4.7,0.4,1.00,1.00,1.7,2.4,0.3,6.2
Shelden Williams,3040,brooklyn-nets,2011/2012,58,35,22.0,4.6,2.4,3.6,6.0,0.6,0.81,0.67,1.1,2.6,0.5,11.9
Jordan Williams,6481,brooklyn-nets,2011/2012,43,5,14.8,4.6,1.5,2.1,3.6,0.3,0.49,0.35,0.5,1.4,0.5,14.5
Shawne Williams,3038,brooklyn-nets,2011/2012,25,6,20.6,4.5,0.8,1.9,2.7,0.6,0.40,0.44,0.5,1.8,1.2,5.0
Johan Petro,2780,brooklyn-nets,2011/2012,59,10,15.6,4.2,1.2,2.6,3.8,0.8,0.36,0.39,0.6,2.1,1.2,10.3
Keith Bogans,1995,brooklyn-nets,2011/2012,5,1,18.8,4.2,1.0,1.2,2.2,0.6,0.40,0.00,0.6,3.0,1.0,4.8
DeShawn Stevenson,808,brooklyn-nets,2011/2012,51,30,18.8,2.9,0.1,1.8,2.0,0.8,0.37,0.08,0.4,1.2,2.2,4.3
Andre Emmett,2431,brooklyn-nets,2011/2012,6,0,7.5,2.2,0.3,0.7,1.0,0.2,0.33,0.17,0.3,0.3,0.5,13.3
Larry Owens,4179,brooklyn-nets,2011/2012,7,0,10.7,1.9,0.3,1.6,1.9,0.6,0.00,0.14,0.3,1.4,2.0,5.9
Jerry Smith,6528,brooklyn-nets,2011/2012,5,0,9.2,1.4,0.4,1.0,1.4,0.8,1.00,0.00,0.0,1.0,0.0,7.8
Dennis Horner,6527,brooklyn-nets,2011/2012,8,0,2.8,0.6,0.3,0.4,0.6,0.0,0.00,0.00,0.1,0.1,0.0,6.6
